20,19980,0,0
20,19965,15,0
20,19941,39,0
29,19918,53,0
13,19897,70,20
23,19873,81,23
35,19831,107,27
44,19790,132,34
71,19712,180,37
101,19625,235,39
129,19471,349,51
162,19286,483,69
234,19047,640,79
338,18723,843,96
481,18225,1170,124
649,17581,1608,162
892,16820,2068,220
1210,15738,2763,289
1579,14480,3530,411
2077,13096,4265,562
2700,11447,5101,752
3471,9641,5893,995
4320,7794,6572,1314
5297,6096,6903,1704
6337,4548,6926,2189
7320,3239,6666,2775
8098,2266,6152,3484
8666,1568,5415,4351
9007,1098,4614,5281
9120,710,3880,6290
8958,510,3160,7372
8687,352,2522,8439
8200,241,2009,9550
7645,175,1601,10579
7033,146,1236,11585
6398,116,967,12519
5676,100,740,13484
5072,108,568,14252
4528,104,450,14918
3988,132,360,15520
3469,143,292,16096
3043,163,253,16541
2700,170,206,16924
2364,173,178,17285
2071,187,162,17580
1814,200,141,17845
1595,214,132,18059
1415,228,120,18237
1275,237,106,18382
1136,253,105,18506
1022,265,95,18618
923,274,89,18714
816,310,76,18798
750,348,66,18836
651,363,68,18918
567,402,61,18970
514,442,51,18993
448,470,60,19022
392,527,63,19018
345,564,64,19027
303,601,66,19030
267,656,63,19014
238,694,67,19001
210,740,70,18980
195,797,54,18954
173,862,49,18916
161,940,38,18861
137,1008,39,18816
122,1089,31,18758
106,1173,30,18691
95,1242,29,18634
85,1324,30,18561
71,1386,35,18508
68,1444,33,18455
61,1520,28,18391
55,1586,25,18334
52,1647,22,18279
40,1715,22,18223
39,1781,23,18157
37,1840,19,18104
38,1888,19,18055
30,1920,22,18028
29,1963,22,17986
27,2001,21,17951
26,2051,23,17900
22,2086,27,17865
23,2133,24,17820
21,2184,22,17773
22,2232,18,17728
21,2278,15,17686
22,2331,12,17635
23,2404,10,17563
22,2462,9,17507
18,2529,11,17442
16,2590,14,17380
13,2661,13,17313
12,2730,15,17243
11,2793,15,17181
14,2872,11,17103
15,2933,8,17044
16,2999,6,16979
15,3062,10,16913
16,3096,11,16877
17,3151,11,16821
13,3199,15,16773
15,3240,12,16733
13,3284,16,16687
12,3329,15,16644
13,3375,18,16594
16,3423,20,16541
20,3471,16,16493
23,3538,13,16426
27,3593,17,16363
23,3649,24,16304
21,3721,24,16234
23,3782,23,16172
23,3842,25,16110
28,3906,25,16041
29,3964,33,15974
33,4006,35,15926
35,4042,38,15885
34,4091,43,15832
43,4142,45,15770
45,4191,43,15721
52,4224,43,15681
57,4255,55,15633
57,4274,67,15602
64,4302,71,15563
66,4326,80,15528
77,4349,81,15493
87,4378,76,15459
91,4381,92,15436
86,4397,104,15413
96,4415,107,15382
110,4427,115,15348
121,4451,120,15308
121,4473,145,15261
135,4489,157,15219
154,4492,165,15189
161,4501,189,15149
167,4505,200,15128
189,4512,195,15104
213,4508,218,15061
224,4483,250,15043
224,4448,291,15037
242,4433,301,15024
265,4410,318,15007
291,4358,347,15004
326,4310,363,15001
359,4257,381,15003
378,4187,429,15006
395,4137,444,15024
426,4059,470,15045
457,3972,496,15075
493,3870,546,15091
528,3779,565,15128
564,3689,583,15164
593,3586,610,15211
631,3485,616,15268
674,3376,656,15294
705,3287,664,15344
758,3170,676,15396
795,3060,696,15449
815,2949,713,15523
845,2825,729,15601
871,2711,739,15679
917,2609,728,15746
950,2518,739,15793
964,2431,746,15859
969,2348,743,15940
967,2264,745,16024
974,2199,726,16101
987,2132,710,16171
1016,2045,681,16258
1021,1990,657,16332
1023,1932,634,16411
1038,1860,615,16487
1013,1810,614,16563
1010,1746,616,16628
988,1695,603,16714
958,1668,584,16790
976,1640,548,16836
966,1602,517,16915
963,1573,512,16952
934,1558,503,17005
883,1560,481,17076
872,1533,475,17120
841,1526,468,17165
829,1521,434,17216
808,1504,414,17274
779,1505,401,17315
760,1519,376,17345
740,1528,361,17371
720,1535,350,17395
680,1568,321,17431
667,1578,317,17438
631,1585,323,17461
606,1596,323,17475
571,1639,321,17469
545,1670,332,17453
532,1700,322,17446
517,1756,311,17416
509,1804,286,17401
499,1833,286,17382
490,1876,287,17347
508,1924,270,17298
501,1951,269,17279
495,1991,263,17251
490,2010,279,17221
482,2023,271,17224
470,2019,297,17214
458,2053,299,17190
460,2066,297,17177
476,2077,298,17149
478,2108,294,17120
479,2120,305,17096
453,2145,311,17091
470,2167,300,17063
472,2201,296,17031
463,2229,295,17013
452,2250,297,17001
431,2289,307,16973
451,2322,297,16930
441,2373,296,16890
432,2407,296,16865
438,2457,302,16803
425,2490,311,16774
440,2518,318,16724
445,2548,304,16703
445,2585,314,16656
457,2616,325,16602
472,2641,324,16563
500,2657,322,16521
522,2624,351,16503
524,2627,348,16501
543,2656,342,16459
545,2658,370,16427
547,2661,390,16402
574,2678,390,16358
581,2668,407,16344
572,2690,413,16325
582,2664,430,16324
585,2679,434,16302
599,2677,441,16283
610,2666,471,16253
629,2643,488,16240
669,2617,492,16222
691,2627,489,16193
710,2655,478,16157
731,2655,483,16131
723,2664,505,16108
744,2626,526,16104
750,2611,536,16103
793,2581,534,16092
809,2548,546,16097
805,2557,558,16080
829,2536,562,16073
837,2515,566,16082
829,2478,595,16098
842,2457,598,16103
858,2458,590,16094
882,2417,601,16100
887,2370,624,16119
907,2341,624,16128
883,2301,662,16154
853,2273,662,16212
839,2281,627,16253
861,2280,623,16236
883,2250,621,16246
887,2235,628,16250
906,2207,621,16266
919,2196,614,16271
934,2159,593,16314
952,2132,606,16310
952,2123,588,16337
940,2085,598,16377
939,2073,578,16410
948,2070,547,16435
929,2068,553,16450
948,2058,543,16451
919,2054,529,16498
921,2022,529,16528
899,2017,550,16534
888,2002,569,16541
870,2018,566,16546
859,2037,568,16536
863,2056,537,16544
878,2057,506,16559
875,2051,496,16578
852,2038,503,16607
830,2018,505,16647
824,2024,510,16642
806,2000,514,16680
778,2014,496,16712
790,2027,489,16694
786,2031,494,16689
771,2052,491,16686
771,2075,476,16678
765,2077,483,16675
762,2062,492,16684
740,2041,511,16708
738,2052,481,16729
720,2056,471,16753
736,2032,462,16770
727,2021,458,16794
719,2033,454,16794
711,2030,436,16823
712,1996,442,16850
702,1987,435,16876
711,1997,427,16865
714,1985,424,16877
697,1981,425,16897
696,2021,406,16877
709,2019,421,16851
702,2064,402,16832
686,2075,398,16841
656,2098,403,16843
657,2113,402,16828
645,2164,392,16799
640,2200,384,16776
619,2214,400,16767
623,2227,405,16745
621,2259,404,16716
615,2276,414,16695
626,2282,410,16682
614,2325,406,16655
599,2344,425,16632
619,2379,417,16585
611,2396,419,16574
623,2386,438,16553
640,2402,414,16544
646,2421,405,16528
651,2426,419,16504
656,2422,440,16482
652,2431,436,16481
668,2423,435,16474
680,2432,435,16453
694,2430,444,16432
689,2421,455,16435
685,2410,465,16440
717,2390,480,16413
727,2378,493,16402
741,2372,486,16401
751,2373,491,16385
765,2357,497,16381
795,2343,498,16364
786,2360,496,16358
793,2347,514,16346
787,2331,542,16340
807,2337,526,16330
801,2356,527,16316
826,2351,526,16297
817,2358,533,16292
814,2356,528,16302
800,2339,552,16309
810,2341,543,16306
809,2331,535,16325
800,2335,538,16327
783,2314,553,16350
774,2315,555,16356
780,2296,547,16377
788,2279,552,16381
785,2276,548,16391
784,2264,550,16402
812,2253,541,16394
833,2234,529,16404
856,2224,532,16388
851,2190,556,16403
877,2173,549,16401
890,2175,534,16401
875,2127,566,16432
860,2132,558,16450
877,2103,570,16450
889,2097,561,16453
901,2054,571,16474
892,2050,567,16491
902,2011,580,16507
919,2013,545,16523
930,2014,522,16534
934,2000,508,16558
935,2006,499,16560
951,1977,505,16567
926,1973,531,16570
924,1974,539,16563
933,1958,542,16567
913,1982,523,16582
912,1975,523,16590
911,1988,522,16579
917,1992,525,16566
926,2013,502,16559
910,2027,504,16559
895,2040,519,16546
892,2032,529,16547
888,2054,505,16553
905,2045,486,16564
906,2051,479,16564
913,2029,490,16568
916,2010,518,16556
940,2007,513,16540
944,2010,520,16526
936,2037,528,16499
953,2026,517,16504
957,2017,530,16496
933,2015,538,16514
950,2016,529,16505
961,2030,517,16492
938,2020,544,16498
920,1999,555,16526
950,1992,516,16542
962,2010,494,16534
965,2023,470,16542
956,1999,468,16577
938,1997,479,16586
932,1996,482,16590
897,2015,481,16607
871,2037,490,16602
861,2060,492,16587
857,2076,499,16568
837,2099,498,16566
853,2101,508,16538
851,2118,493,16538
828,2152,493,16527
797,2171,496,16536
785,2194,487,16534
765,2193,499,16543
749,2214,500,16537
744,2258,497,16501
717,2250,514,16519
719,2268,507,16506
737,2290,507,16466
727,2306,531,16436
736,2335,506,16423
741,2338,521,16400
736,2375,512,16377
742,2389,515,16354
747,2399,514,16340
769,2424,494,16313
791,2419,510,16280
786,2434,518,16262
793,2419,515,16273
783,2403,531,16283
758,2408,538,16296
772,2403,525,16300
774,2391,537,16298
778,2427,513,16282
783,2442,518,16257
785,2465,518,16232
771,2460,528,16241
787,2447,512,16254
807,2449,516,16228
788,2443,540,16229
807,2460,539,16194
806,2418,571,16205
817,2423,587,16173
809,2398,593,16200
821,2390,578,16211
820,2373,594,16213
833,2350,590,16227
828,2346,612,16214
832,2320,619,16229
827,2305,627,16241
847,2301,608,16244
876,2285,614,16225
879,2303,592,16226
899,2307,578,16216
901,2279,602,16218
901,2263,611,16225
906,2267,601,16226
893,2241,610,16256
885,2250,599,16266
900,2254,580,16266
916,2241,582,16261
911,2224,576,16289
930,2205,576,16289
877,2194,610,16319
886,2200,579,16335
905,2166,587,16342
893,2179,594,16334
915,2154,572,16359
925,2142,541,16392
914,2152,517,16417
883,2135,535,16447
866,2119,537,16478
863,2105,545,16487
866,2107,535,16492
856,2111,530,16503
849,2107,524,16520
870,2132,514,16484
876,2110,522,16492
857,2146,504,16493
861,2144,484,16511
835,2138,501,16526
811,2153,513,16523
807,2144,527,16522
787,2118,556,16539
777,2137,553,16533
797,2144,539,16520
802,2146,519,16533
805,2167,508,16520
789,2178,515,16518
784,2178,521,16517
759,2206,521,16514
771,2205,524,16500
763,2195,536,16506
756,2212,526,16506
753,2200,516,16531
742,2206,510,16542
733,2218,503,16546
748,2206,510,16536
743,2207,506,16544
738,2229,505,16528
723,2239,481,16557
702,2270,475,16553
698,2239,501,16562
672,2260,493,16575
690,2292,460,16558
684,2312,448,16556
680,2314,441,16565
667,2310,465,16558
658,2311,487,16544
673,2322,488,16517
663,2334,490,16513
684,2338,487,16491
694,2333,508,16465
714,2324,506,16456
735,2325,501,16439
756,2309,489,16446
769,2309,477,16445
781,2299,479,16441
766,2272,508,16454
775,2272,518,16435
767,2285,519,16429
771,2262,521,16446
790,2286,509,16415
810,2284,511,16395
798,2264,527,16411
803,2261,541,16395
818,2267,529,16386
820,2236,576,16368
831,2261,555,16353
850,2272,538,16340
824,2267,550,16359
822,2268,558,16352
828,2274,549,16349
834,2257,544,16365
849,2273,522,16356
842,2260,542,16356
832,2253,546,16369
814,2233,573,16380
810,2228,574,16388
810,2215,602,16373
827,2215,588,16370
828,2228,563,16381
