20,19980,0,0
20,19963,17,0
9,19956,24,11
14,19945,30,11
20,19921,48,11
29,19895,64,12
37,19855,95,13
45,19803,136,16
57,19732,188,23
96,19620,258,26
138,19483,349,30
175,19279,504,42
233,19020,686,61
337,18688,898,77
482,18257,1159,102
663,17586,1624,127
885,16756,2175,184
1200,15792,2742,266
1650,14499,3499,352
2141,13033,4305,521
2778,11389,5108,725
3531,9587,5914,968
4448,7762,6527,1263
5462,6004,6847,1687
6439,4469,6883,2209
7314,3253,6570,2863
8105,2295,5980,3620
8787,1608,5197,4408
9196,1118,4394,5292
9313,777,3648,6262
9221,549,2968,7262
8982,368,2400,8250
8614,284,1869,9233
8151,238,1449,10162
7604,213,1136,11047
7081,188,936,11795
6441,175,782,12602
5830,181,652,13337
5348,195,551,13906
4783,220,468,14529
4308,235,426,15031
3868,253,359,15520
3445,291,309,15955
3088,291,291,16330
2736,320,275,16669
2431,346,243,16980
2164,370,207,17259
1897,415,178,17510
1710,458,171,17661
1479,485,172,17864
1330,508,164,17998
1230,555,146,18069
1103,583,141,18173
985,608,154,18253
920,654,141,18285
851,686,136,18327
792,727,138,18343
735,778,126,18361
700,816,136,18348
648,867,132,18353
595,931,116,18358
535,995,120,18350
486,1054,122,18338
419,1107,117,18357
382,1158,110,18350
333,1225,116,18326
278,1259,121,18342
257,1329,109,18305
244,1397,95,18264
219,1451,95,18235
203,1512,88,18197
180,1580,92,18148
183,1639,87,18091
172,1698,79,18051
167,1780,63,17990
159,1841,66,17934
143,1895,74,17888
135,1943,65,17857
139,1993,66,17802
133,2059,67,17741
122,2124,65,17689
130,2198,62,17610
127,2245,63,17565
129,2291,63,17517
121,2370,59,17450
119,2430,65,17386
107,2472,64,17357
106,2506,71,17317
103,2538,66,17293
97,2569,67,17267
101,2606,67,17226
99,2635,72,17194
98,2676,70,17156
110,2699,63,17128
116,2722,67,17095
113,2744,66,17077
113,2767,65,17055
115,2795,67,17023
106,2824,65,17005
103,2848,65,16984
100,2866,76,16958
100,2884,83,16933
105,2904,81,16910
113,2936,76,16875
112,2955,88,16845
109,2972,89,16830
109,2978,93,16820
119,2995,83,16803
128,3011,87,16774
133,3013,93,16761
122,3017,105,16756
126,3026,111,16737
133,3030,111,16726
132,3050,115,16703
138,3049,122,16691
146,3042,131,16681
143,3052,138,16667
151,3044,155,16650
164,3050,156,16630
176,3060,152,16612
180,3075,148,16597
184,3089,153,16574
173,3091,167,16569
175,3104,166,16555
180,3107,171,16542
191,3117,168,16524
213,3145,148,16494
226,3137,159,16478
222,3135,172,16471
216,3127,198,16459
225,3135,203,16437
229,3143,204,16424
245,3152,196,16407
250,3150,208,16392
257,3154,215,16374
252,3150,233,16365
253,3149,229,16369
263,3147,225,16365
288,3143,222,16347
299,3135,227,16339
314,3130,236,16320
328,3120,251,16301
337,3114,253,16296
347,3087,275,16291
354,3062,293,16291
381,3047,283,16289
389,3021,297,16293
397,2978,319,16306
412,2971,320,16297
434,2973,319,16274
438,2950,335,16277
445,2947,343,16265
439,2934,381,16246
476,2935,363,16226
500,2906,375,16219
515,2880,391,16214
536,2857,381,16226
543,2825,410,16222
557,2789,408,16246
591,2754,404,16251
599,2726,411,16264
619,2669,410,16302
627,2642,421,16310
641,2611,434,16314
637,2602,425,16336
664,2546,437,16353
687,2528,449,16336
686,2482,478,16354
700,2429,504,16367
756,2411,498,16335
806,2389,469,16336
808,2353,482,16357
796,2326,476,16402
806,2266,508,16420
807,2229,506,16458
805,2208,505,16482
828,2194,488,16490
839,2157,511,16493
845,2110,531,16514
848,2087,519,16546
882,2061,507,16550
921,2014,495,16570
917,1983,501,16599
913,1973,487,16627
941,1983,461,16615
926,1973,465,16636
922,1970,459,16649
916,1959,479,16646
899,1934,499,16668
879,1966,495,16660
875,1977,494,16654
856,1984,480,16680
832,2016,471,16681
829,2031,449,16691
820,2053,441,16686
812,2093,422,16673
796,2113,428,16663
777,2156,405,16662
761,2163,425,16651
739,2159,439,16663
729,2180,430,16661
738,2202,420,16640
731,2217,414,16638
723,2232,421,16624
709,2234,441,16616
721,2236,434,16609
725,2224,440,16611
722,2219,443,16616
717,2225,440,16618
709,2224,452,16615
723,2222,453,16602
736,2224,452,16588
733,2229,450,16588
724,2222,455,16599
745,2211,458,16586
769,2212,430,16589
769,2209,433,16589
780,2212,416,16592
764,2196,428,16612
768,2206,417,16609
761,2208,419,16612
751,2191,439,16619
739,2180,454,16627
746,2188,433,16633
742,2192,413,16653
741,2211,401,16647
759,2217,399,16625
747,2246,406,16601
743,2256,424,16577
755,2268,438,16539
786,2267,437,16510
774,2282,449,16495
767,2315,450,16468
753,2343,439,16465
744,2355,446,16455
763,2353,439,16445
775,2351,444,16430
778,2326,469,16427
795,2327,459,16419
827,2311,457,16405
857,2291,465,16387
844,2282,487,16387
843,2281,493,16383
851,2244,513,16392
875,2247,498,16380
899,2228,501,16372
902,2205,527,16366
913,2172,539,16376
916,2168,532,16384
940,2142,522,16396
968,2101,527,16404
969,2076,544,16411
970,2052,553,16425
974,2017,550,16459
997,2009,542,16452
1017,1980,543,16460
1016,1979,536,16469
1005,1960,534,16501
1011,1958,512,16519
998,1943,504,16555
963,1935,519,16583
974,1918,508,16600
974,1904,485,16637
950,1909,468,16673
931,1931,446,16692
901,1943,444,16712
872,1937,450,16741
858,1914,459,16769
834,1899,449,16818
821,1902,448,16829
816,1911,437,16836
775,1925,440,16860
771,1951,419,16859
774,1960,414,16852
747,1967,425,16861
736,2014,429,16821
738,2024,424,16814
750,2017,421,16812
752,2005,445,16798
741,2010,435,16814
734,2034,421,16811
728,2029,426,16817
736,2053,406,16805
718,2057,417,16808
705,2052,418,16825
711,2056,399,16834
722,2059,390,16829
707,2032,424,16837
706,2037,420,16837
730,2070,376,16824
725,2119,363,16793
709,2108,369,16814
702,2118,373,16807
678,2127,392,16803
665,2137,407,16791
672,2155,388,16785
678,2171,388,16763
676,2165,385,16774
659,2177,390,16774
642,2202,400,16756
658,2228,380,16734
659,2261,379,16701
652,2253,411,16684
665,2251,412,16672
665,2247,415,16673
700,2254,397,16649
683,2271,399,16647
669,2243,406,16682
675,2262,408,16655
687,2266,408,16639
674,2239,441,16646
667,2264,406,16663
657,2252,405,16686
668,2266,389,16677
657,2260,405,16678
675,2251,403,16671
664,2235,420,16681
643,2266,413,16678
634,2289,414,16663
664,2291,419,16626
673,2304,420,16603
692,2298,413,16597
694,2283,429,16594
700,2272,442,16586
696,2277,446,16581
716,2247,444,16593
730,2219,457,16594
748,2212,447,16593
774,2226,444,16556
766,2221,444,16569
769,2239,434,16558
773,2253,440,16534
773,2274,442,16511
776,2285,454,16485
783,2301,455,16461
793,2314,470,16423
791,2307,481,16421
795,2293,476,16436
795,2282,477,16446
793,2291,476,16440
792,2266,484,16458
779,2259,499,16463
798,2266,486,16450
798,2235,503,16464
798,2213,503,16486
802,2175,523,16500
803,2162,527,16508
815,2162,499,16524
830,2161,491,16518
838,2148,489,16525
846,2139,480,16535
857,2154,464,16525
839,2152,488,16521
834,2136,512,16518
845,2134,499,16522
