0,0.1,19980,20
15.29,0.0,19964.71,20.0
35.97,3.28,19944.03,16.72
54.03,5.59,19921.59,18.79
72.17,7.87,19894.71,25.25
96.89,10.61,19857.33,35.17
131.66,13.81,19805.87,48.66
181.66,17.51,19733.18,67.65
247.73,23.86,19635.56,92.85
336.64,31.93,19503.41,128.02
459.5,42.71,19322.34,175.45
622.76,58.01,19081.32,237.91
839.02,79.01,18757.04,324.93
1125.0,107.34,18325.51,442.15
1488.89,146.55,17765.72,598.84
1945.01,202.26,17046.42,806.31
2509.54,273.58,16134.98,1081.9
3174.97,372.2,15016.3,1436.53
3911.69,503.45,13692.86,1892.0
4689.16,675.14,12179.94,2455.76
5449.11,906.28,10520.62,3123.99
6079.7,1202.11,8813.74,3904.45
6522.65,1578.73,7136.51,4762.11
6690.79,2048.37,5591.49,5669.35
6600.36,2616.83,4231.51,6551.3
6250.97,3295.67,3101.2,7352.16
5694.17,4074.89,2223.11,8007.83
5017.99,4942.42,1554.58,8485.01
4283.31,5886.23,1077.42,8753.04
3559.95,6878.1,744.74,8817.21
2894.99,7895.37,519.31,8690.33
2317.16,8919.81,367.77,8395.26
1828.16,9915.91,271.58,7984.35
1426.02,10873.07,210.66,7490.25
1106.08,11780.67,176.88,6936.37
859.31,12621.61,158.58,6360.5
668.27,13394.77,150.11,5786.85
524.7,14095.67,149.56,5230.07
415.98,14726.88,155.46,4701.68
333.58,15288.41,165.28,4212.73
275.8,15788.29,179.38,3756.53
231.34,16231.27,194.84,3342.55
198.56,16622.04,213.12,2966.28
174.91,16963.11,233.29,2628.69
158.4,17256.93,257.12,2327.55
145.94,17513.31,282.7,2058.05
136.75,17733.62,309.48,1820.15
129.43,17919.2,340.75,1610.62
126.37,18076.18,373.09,1424.36
123.6,18206.33,407.09,1262.98
119.59,18313.06,443.86,1123.49
117.21,18402.54,481.93,998.32
113.33,18477.79,521.28,887.6
110.05,18533.39,563.03,793.53
105.86,18579.44,606.18,708.52
103.66,18611.08,649.42,635.84
