20,19980,0,0
20,19970,10,0
18,19954,26,2
20,19941,37,2
22,19925,51,2
36,19880,82,2
27,19847,105,21
41,19810,124,25
64,19744,158,34
78,19656,225,41
106,19548,295,51
150,19413,376,61
196,19214,521,69
258,18986,670,86
376,18624,890,110
477,18186,1186,151
637,17551,1604,208
850,16787,2094,269
1155,15790,2705,350
1523,14574,3437,466
1989,13186,4186,639
2548,11662,4924,866
3253,9933,5682,1132
3999,8223,6281,1497
4861,6448,6781,1910
5789,4893,6883,2435
6614,3688,6616,3082
7410,2646,6042,3902
7932,1897,5391,4780
8312,1336,4672,5680
8515,934,3866,6685
8487,642,3148,7723
8256,437,2535,8772
7902,305,1992,9801
7436,219,1549,10796
6925,165,1157,11753
6370,138,869,12623
5818,127,664,13391
5267,119,514,14100
4751,114,399,14736
4247,119,318,15316
3773,134,271,15822
3318,155,235,16292
2961,173,203,16663
2603,187,184,17026
2324,202,182,17292
2043,233,171,17553
1814,245,163,17778
1583,281,162,17974
1427,300,158,18115
1281,305,151,18263
1148,334,145,18373
1014,365,134,18487
907,396,123,18574
798,436,113,18653
683,458,117,18742
597,497,101,18805
525,518,95,18862
472,545,86,18897
410,584,77,18929
351,616,71,18962
293,654,76,18977
266,692,70,18972
236,733,64,18967
215,785,62,18938
185,828,59,18928
175,890,46,18889
154,940,50,18856
139,992,48,18821
125,1056,43,18776
112,1125,44,18719
99,1201,46,18654
89,1262,37,18612
79,1339,33,18549
72,1407,34,18487
62,1468,37,18433
56,1529,34,18381
52,1589,35,18324
42,1647,41,18270
40,1711,39,18210
41,1778,34,18147
47,1840,31,18082
45,1894,32,18029
47,1960,27,17966
45,2021,28,17906
45,2084,23,17848
44,2151,21,17784
44,2225,20,17711
37,2300,20,17643
36,2366,19,17579
36,2437,18,17509
33,2507,22,17438
30,2585,19,17366
33,2649,20,17298
28,2724,23,17225
20,2775,25,17180
23,2840,26,17111
26,2899,31,17044
31,2948,28,16993
31,3000,29,16940
30,3044,28,16898
31,3096,28,16845
32,3156,27,16785
35,3200,27,16738
33,3233,29,16705
36,3277,26,16661
34,3322,30,16614
38,3371,27,16564
33,3403,30,16534
37,3452,31,16480
42,3489,34,16435
39,3524,33,16404
40,3562,40,16358
42,3594,39,16325
45,3649,38,16268
44,3688,44,16224
47,3744,46,16163
54,3793,41,16112
58,3845,49,16048
59,3903,55,15983
67,3952,49,15932
68,3987,61,15884
68,4038,68,15826
72,4085,75,15768
79,4122,74,15725
80,4152,88,15680
101,4183,93,15623
100,4215,108,15577
110,4246,105,15539
119,4273,112,15496
124,4293,115,15468
128,4306,141,15425
136,4340,157,15367
164,4355,154,15327
171,4361,170,15298
189,4356,176,15279
204,4335,209,15252
216,4330,233,15221
244,4303,248,15205
260,4282,268,15190
282,4275,272,15171
305,4232,289,15174
336,4210,292,15162
348,4169,329,15154
363,4117,372,15148
391,4057,410,15142
417,3977,442,15164
449,3899,473,15179
500,3857,457,15186
536,3753,494,15217
536,3697,503,15264
550,3585,558,15307
593,3501,582,15324
662,3422,573,15343
710,3305,604,15381
728,3194,639,15439
773,3090,644,15493
843,2996,634,15527
863,2893,659,15585
874,2809,671,15646
903,2741,665,15691
910,2653,682,15755
944,2544,693,15819
979,2478,675,15868
975,2399,666,15960
972,2311,685,16032
991,2230,688,16091
1021,2179,667,16133
1028,2092,672,16208
1032,2043,657,16268
1040,1996,623,16341
1070,1937,593,16400
1053,1871,581,16495
1046,1822,579,16553
1056,1782,536,16626
1048,1754,514,16684
1028,1696,510,16766
1019,1685,479,16817
980,1643,485,16892
960,1623,485,16932
917,1600,467,17016
910,1590,410,17090
877,1575,395,17153
857,1585,379,17179
804,1591,378,17227
794,1608,356,17242
758,1607,355,17280
746,1618,357,17279
706,1631,329,17334
662,1654,310,17374
626,1671,315,17388
609,1710,310,17371
592,1749,298,17361
592,1782,297,17329
559,1803,304,17334
529,1829,302,17340
530,1860,294,17316
517,1900,284,17299
498,1918,295,17289
500,1948,282,17270
499,1972,280,17249
499,1996,278,17227
478,2008,303,17211
483,2053,285,17179
490,2065,281,17164
460,2085,304,17151
463,2118,284,17135
472,2148,285,17095
473,2177,291,17059
467,2212,282,17039
501,2262,254,16983
490,2260,283,16967
472,2262,297,16969
474,2270,299,16957
471,2294,324,16911
477,2338,299,16886
479,2387,292,16842
464,2433,294,16809
471,2443,303,16783
477,2493,311,16719
490,2518,312,16680
507,2559,317,16617
498,2596,330,16576
485,2615,351,16549
491,2655,334,16520
505,2666,329,16500
501,2684,330,16485
507,2689,337,16467
507,2708,354,16431
510,2693,379,16418
519,2701,385,16395
534,2697,394,16375
566,2704,377,16353
592,2703,367,16338
594,2713,376,16317
585,2673,409,16333
599,2672,425,16304
609,2665,441,16285
600,2668,455,16277
622,2648,467,16263
644,2661,445,16250
657,2647,465,16231
665,2639,466,16230
683,2601,490,16226
700,2608,482,16210
721,2602,482,16195
749,2594,480,16177
748,2586,509,16157
749,2575,515,16161
772,2580,490,16158
776,2541,520,16163
773,2527,522,16178
802,2506,511,16181
791,2489,538,16182
810,2474,523,16193
848,2462,503,16187
847,2452,515,16186
845,2440,532,16183
856,2441,514,16189
872,2446,510,16172
869,2424,534,16173
882,2441,523,16154
910,2419,523,16148
899,2416,533,16152
898,2424,544,16134
901,2424,553,16122
915,2401,548,16136
939,2381,559,16121
