20,19980,0,0
20,19969,11,0
0,19958,22,20
3,19955,22,20
9,19951,20,20
11,19935,33,21
14,19918,45,23
22,19893,61,24
25,19860,88,27
35,19814,121,30
56,19758,155,31
79,19687,195,39
107,19560,287,46
150,19399,396,55
213,19178,546,63
289,18897,728,86
381,18499,1005,115
521,17991,1338,150
698,17371,1729,202
977,16502,2255,266
1266,15440,2941,353
1674,14182,3665,479
2274,12605,4505,616
2925,10891,5342,842
3733,9101,6076,1090
4619,7275,6649,1457
5535,5583,6953,1929
6477,4118,6865,2540
7366,2895,6539,3200
8097,2032,5852,4019
8604,1403,5100,4893
8791,933,4297,5979
8804,650,3539,7007
8671,449,2809,8071
8273,347,2195,9185
7756,255,1715,10274
7127,200,1348,11325
6535,176,1057,12232
5915,149,816,13120
5332,157,608,13903
4776,156,472,14596
4235,153,379,15233
3715,156,321,15808
3276,193,262,16269
2940,220,219,16621
2587,272,201,16940
2302,309,179,17210
2078,352,167,17403
1851,409,164,17576
1660,451,165,17724
1480,503,170,17847
1335,563,168,17934
1201,602,185,18012
1085,649,197,18069
997,697,191,18115
920,744,188,18148
835,801,188,18176
749,848,187,18216
690,896,175,18239
641,937,179,18243
590,963,179,18268
543,1023,174,18260
495,1066,168,18271
440,1097,165,18298
364,1136,177,18323
351,1181,164,18304
315,1230,159,18296
271,1313,142,18274
249,1381,128,18242
238,1454,113,18195
216,1541,116,18127
209,1620,113,18058
211,1727,92,17970
190,1809,100,17901
175,1876,98,17851
163,1955,98,17784
152,2023,100,17725
148,2109,90,17653
140,2176,99,17585
138,2242,99,17521
147,2296,96,17461
152,2361,99,17388
152,2408,97,17343
157,2469,96,17278
155,2526,96,17223
148,2575,105,17172
149,2614,109,17128
133,2674,123,17070
146,2742,119,16993
153,2817,106,16924
145,2877,103,16875
137,2939,108,16816
128,2994,117,16761
130,3023,114,16733
149,3064,114,16673
151,3085,123,16641
151,3101,119,16629
151,3117,127,16605
162,3118,139,16581
167,3145,135,16553
183,3159,131,16527
179,3170,139,16512
180,3174,133,16513
187,3199,134,16480
187,3197,148,16468
205,3194,152,16449
208,3186,165,16441
212,3186,164,16438
225,3192,158,16425
218,3198,172,16412
223,3197,183,16397
224,3191,203,16382
246,3204,177,16373
257,3214,176,16353
255,3207,188,16350
269,3200,190,16341
254,3218,208,16320
259,3243,199,16299
271,3271,192,16266
266,3277,217,16240
261,3284,230,16225
267,3298,234,16201
278,3313,249,16160
297,3324,257,16122
319,3323,264,16094
343,3321,280,16056
358,3331,282,16029
381,3342,282,15995
399,3349,297,15955
420,3351,316,15913
434,3339,333,15894
465,3338,346,15851
473,3316,382,15829
482,3327,404,15787
486,3332,411,15771
494,3321,423,15762
520,3295,417,15768
547,3259,443,15751
575,3213,454,15758
586,3139,483,15792
606,3064,499,15831
629,3028,498,15845
648,2986,494,15872
671,2950,486,15893
675,2886,504,15935
695,2838,507,15960
698,2782,514,16006
720,2768,492,16020
724,2722,485,16069
724,2661,500,16115
735,2609,500,16156
754,2547,501,16198
766,2478,482,16274
773,2433,474,16320
745,2383,485,16387
755,2329,463,16453
765,2282,445,16508
734,2253,450,16563
725,2244,438,16593
704,2221,448,16627
686,2213,439,16662
676,2231,406,16687
674,2270,367,16689
669,2269,358,16704
642,2288,345,16725
635,2332,325,16708
629,2360,333,16678
605,2385,350,16660
599,2410,337,16654
599,2443,342,16616
593,2501,320,16586
587,2521,339,16553
567,2546,352,16535
576,2578,350,16496
592,2611,350,16447
576,2619,379,16426
567,2664,390,16379
