20,19980,0,0
20,19967,13,0
20,19940,40,0
18,19924,51,7
19,19909,52,20
28,19884,67,21
38,19835,105,22
42,19782,151,25
68,19714,191,27
101,19645,222,32
136,19509,311,44
170,19343,431,56
231,19128,561,80
311,18828,772,89
441,18383,1054,122
598,17800,1450,152
797,17081,1916,206
1076,16186,2450,288
1441,15036,3160,363
1932,13679,3904,485
2531,12120,4674,675
3197,10352,5523,928
4023,8511,6247,1219
4958,6755,6683,1604
5863,5164,6838,2135
6826,3839,6614,2721
7730,2735,6121,3414
8494,1915,5402,4189
8862,1313,4680,5145
9067,872,3876,6185
8977,592,3146,7285
8755,406,2472,8367
8324,280,1958,9438
7754,210,1524,10512
7169,176,1153,11502
6530,141,874,12455
5818,129,677,13376
5180,127,530,14163
4562,125,437,14876
4007,140,349,15504
3515,163,288,16034
3011,192,241,16556
2607,201,210,16982
2224,228,193,17355
1877,255,187,17681
1573,285,173,17969
1327,339,156,18178
1159,380,130,18331
981,444,121,18454
841,477,119,18563
740,510,112,18638
666,561,105,18668
585,623,90,18702
522,655,90,18733
472,698,97,18733
418,745,89,18748
372,783,80,18765
344,844,70,18742
314,892,61,18733
286,931,55,18728
245,993,54,18708
229,1038,51,18682
201,1089,60,18650
173,1166,59,18602
158,1245,53,18544
141,1304,50,18505
132,1395,43,18430
129,1481,40,18350
110,1591,49,18250
96,1679,52,18173
97,1766,47,18090
95,1844,47,18014
89,1911,48,17952
86,1989,45,17880
79,2070,47,17804
70,2148,53,17729
72,2215,50,17663
72,2288,45,17595
63,2358,46,17533
71,2415,43,17471
70,2457,52,17421
71,2512,54,17363
73,2546,62,17319
70,2599,68,17263
78,2637,77,17208
86,2692,74,17148
105,2742,68,17085
111,2812,61,17016
116,2864,65,16955
117,2893,75,16915
117,2916,88,16879
125,2945,90,16840
133,2991,91,16785
149,3008,89,16754
153,3024,93,16730
165,3047,100,16688
182,3065,102,16651
172,3079,130,16619
186,3077,136,16601
194,3111,147,16548
207,3148,144,16501
228,3179,140,16453
240,3204,150,16406
257,3233,148,16362
262,3242,161,16335
276,3267,172,16285
275,3277,191,16257
284,3274,202,16240
303,3268,215,16214
338,3256,230,16176
357,3224,254,16165
384,3203,261,16152
405,3171,275,16149
414,3129,317,16140
457,3066,321,16156
495,3009,335,16161
507,2945,363,16185
547,2892,363,16198
576,2834,385,16205
594,2765,426,16215
613,2722,439,16226
645,2678,440,16237
676,2631,446,16247
703,2578,449,16270
724,2540,446,16290
744,2499,462,16295
774,2461,470,16295
769,2413,487,16331
793,2394,457,16356
813,2362,448,16377
802,2316,465,16417
800,2273,482,16445
821,2234,491,16454
834,2168,510,16488
825,2122,516,16537
847,2091,491,16571
830,2070,480,16620
819,2056,485,16640
823,2041,469,16667
808,2012,461,16719
790,1986,464,16760
791,1971,455,16783
789,1951,457,16803
774,1962,447,16817
758,1945,445,16852
756,1942,420,16882
725,1919,414,16942
719,1937,390,16954
720,1956,355,16969
697,1941,383,16979
685,1926,385,17004
669,1912,387,17032
689,1908,374,17029
695,1906,342,17057
668,1913,336,17083
659,1938,322,17081
634,1933,326,17107
629,1931,323,17117
619,1943,333,17105
599,1933,349,17119
593,1946,351,17110
587,1962,337,17114
593,1995,301,17111
598,2000,308,17094
589,2015,298,17098
594,2029,302,17075
591,2022,318,17069
594,2037,315,17054
596,2063,306,17035
574,2076,306,17044
578,2099,306,17017
571,2118,312,16999
581,2141,317,16961
586,2168,326,16920
598,2215,304,16883
610,2220,322,16848
589,2258,336,16817
580,2292,341,16787
588,2355,340,16717
614,2394,341,16651
628,2418,353,16601
626,2464,374,16536
650,2478,368,16504
661,2468,403,16468
688,2477,422,16413
702,2488,425,16385
690,2499,451,16360
728,2493,461,16318
741,2514,461,16284
776,2491,464,16269
789,2495,478,16238
816,2489,490,16205
850,2471,504,16175
